step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,16,0,0,0,16,0,0.0,0.0,11.88429626462391,0,0.0,0.8655665593642675,0,0.0
10.0,16,0,0,0,16,0,0.0,0.0,11.392377086053207,0,0.0,0.8338137972364784,0,0.0
15.0,22,0,4,0,22,0,7.0,0.3181818181818182,6.596128087621497,4,7.0,0.40590134299709724,4,7.0
20.0,22,0,12,0,22,0,53.0,2.409090909090909,5.777241590338776,12,53.0,0.28943939664768636,12,53.0
25.0,26,0,15,2,28,0,118.0,4.538461538461538,4.073505091745324,15,118.0,0.24250123107337584,15,118.0
30.0,24,0,14,4,28,0,164.0,6.833333333333333,3.447833883444652,14,169.0,0.2343943917130919,14,169.0
35.0,28,0,16,4,32,0,239.0,8.535714285714286,4.507530681303153,16,239.0,0.22343187735737813,16,239.0
40.0,34,0,18,4,38,0,329.0,9.676470588235293,5.418542726405995,18,329.0,0.2635845207144963,18,329.0
45.0,35,0,21,7,42,0,427.0,12.2,3.99785076024853,21,427.0,0.2383587620150079,21,427.0
50.0,34,0,24,10,44,0,542.0,15.941176470588236,2.1400566389390874,24,542.0,0.12168899639847147,24,542.0
55.0,38,0,30,10,48,0,681.0,17.92105263157895,2.4934944251828948,30,681.0,0.1466473650881458,30,681.0
60.0,37,0,31,11,48,0,832.0,22.486486486486488,1.1156539380032615,31,832.0,0.06770991478358314,31,832.0
65.0,42,0,34,12,54,0,998.0,23.761904761904763,2.209274533057738,34,998.0,0.12562703300832612,34,998.0
70.0,42,0,35,12,54,0,1169.0,27.833333333333332,1.2106847687053115,35,1169.0,0.05122615433456753,35,1169.0
75.0,53,0,32,13,66,0,998.0,18.830188679245282,3.473612319464744,32,1227.0,0.2212928199807379,32,1227.0
80.0,52,0,32,14,66,0,1042.0,20.03846153846154,2.940169538335639,32,1262.0,0.17475186425358932,32,1262.0
85.0,57,0,34,15,72,0,1207.0,21.17543859649123,3.2211073627887647,34,1259.0,0.1406783773781841,34,1259.0
90.0,57,0,40,15,72,0,1396.0,24.49122807017544,3.707847530617986,40,1396.0,0.04341464267433072,40,1396.0
95.0,52,2,35,22,74,0,1146.0,22.03846153846154,2.3743731973778406,35,1437.0,0.030495934877545677,35,1437.0
100.0,50,2,29,26,76,0,691.0,13.82,3.3627056852472497,29,1305.0,0.11019443670405803,29,1305.0
105.0,47,6,19,29,76,0,371.0,7.8936170212765955,3.549176281285062,19,1305.0,0.12066247862188302,19,1305.0
110.0,48,6,16,34,82,0,180.0,3.75,4.618452318802569,16,1361.0,0.2199961485595531,16,1361.0
115.0,46,10,18,36,82,0,162.0,3.5217391304347827,4.145738011027753,18,1439.0,0.2040684039147032,18,1439.0
120.0,46,6,26,40,86,0,274.0,5.956521739130435,2.6091756204939553,26,1551.0,0.11598181117348323,26,1551.0
125.0,47,9,26,42,89,0,294.0,6.25531914893617,2.3713772764131065,26,1512.0,0.07162966198252074,26,1512.0
130.0,48,7,25,43,91,0,277.0,5.770833333333333,3.618229908792813,25,1246.0,0.09574520777032784,25,1246.0
135.0,47,11,21,46,93,0,154.0,3.276595744680851,3.5978723633815215,21,1262.0,0.1246606950687842,21,1262.0
140.0,42,11,19,51,93,0,162.0,3.857142857142857,2.801952420346212,19,1361.0,0.11998781859159095,19,1361.0
145.0,45,14,15,53,98,0,102.0,2.2666666666666666,3.6761157917306884,15,1395.0,0.22393213700510467,15,1395.0
150.0,50,11,21,55,105,0,195.0,3.9,4.184058093619012,21,1450.0,0.22130583585750593,21,1450.0
155.0,51,10,28,55,106,0,319.0,6.254901960784314,3.2337490375675415,28,1574.0,0.1458805278468716,28,1574.0
160.0,51,12,39,59,110,0,490.0,9.607843137254902,1.9593884213183874,39,1747.0,0.042902093395942566,39,1747.0
165.0,49,12,37,61,110,0,520.0,10.612244897959183,1.9512713974801301,37,1746.0,0.05141051992711172,37,1746.0
170.0,48,16,29,64,112,0,420.0,8.75,2.9284813414397597,29,1539.0,0.10178748084239231,29,1539.0
175.0,47,16,22,65,112,0,345.0,7.340425531914893,3.246281693855556,22,1632.0,0.11567636951434779,22,1632.0
180.0,44,20,19,68,112,0,248.0,5.636363636363637,2.407728283730233,19,1734.0,0.0863375622734688,19,1734.0
185.0,47,20,15,71,118,0,158.0,3.3617021276595747,3.29519743899508,15,1633.0,0.2010119585717327,15,1633.0
190.0,48,21,12,73,121,0,173.0,3.6041666666666665,3.8158185535978366,12,1272.0,0.18784708124890587,12,1272.0
195.0,51,20,13,73,124,0,209.0,4.098039215686274,5.008653674553838,13,964.0,0.17221908979044492,13,964.0
200.0,49,22,9,77,126,0,55.0,1.1224489795918366,4.399964244719896,9,939.0,0.1776769604542378,9,939.0
205.0,44,22,10,84,128,0,59.0,1.3409090909090908,4.890347586175846,10,864.0,0.25457055880670265,10,864.0
210.0,46,23,13,85,131,0,81.0,1.7608695652173914,4.075933089940077,13,768.0,0.16805683557961468,13,768.0
215.0,47,18,11,89,136,0,107.0,2.276595744680851,4.2745576680809885,11,536.0,0.16311298659598605,11,536.0
220.0,54,20,14,92,146,0,157.0,2.9074074074074074,4.539906228406718,14,597.0,0.22591930494471246,14,597.0
225.0,52,18,18,96,148,0,235.0,4.519230769230769,3.289442790922474,18,678.0,0.19421751592472877,18,678.0
230.0,51,22,19,99,150,0,284.0,5.568627450980392,2.057291348951567,19,678.0,0.12562352564095355,19,678.0
235.0,55,18,20,99,154,0,341.0,6.2,2.85936066726159,20,609.0,0.12110451943636301,20,609.0
240.0,56,20,20,100,156,0,423.0,7.553571428571429,3.820976091728146,20,509.0,0.11339733197024113,20,509.0
245.0,55,19,15,104,159,0,287.0,5.218181818181818,3.9016312829037636,15,502.0,0.17489972566688317,15,502.0
250.0,50,23,18,109,159,0,341.0,6.82,3.899078224471466,18,464.0,0.1578726144156736,18,464.0
255.0,56,19,23,113,169,0,200.0,3.5714285714285716,3.4574153778571857,23,468.0,0.18825638012642876,23,468.0
260.0,58,19,24,115,173,0,218.0,3.7586206896551726,3.9394211444940703,24,418.0,0.19005822430968597,24,418.0
265.0,59,17,28,118,177,0,249.0,4.220338983050848,2.8423501846365267,28,483.0,0.11825378477844067,28,483.0
270.0,57,19,31,122,179,0,261.0,4.578947368421052,2.78513616789505,31,541.0,0.09473140343811946,31,541.0
275.0,55,19,29,124,179,0,282.0,5.127272727272727,3.667218148926817,29,590.0,0.09060906341764291,29,590.0
280.0,53,23,22,128,181,0,322.0,6.0754716981132075,5.31486052827042,22,642.0,0.20221358300488826,22,642.0
285.0,48,23,11,133,181,0,230.0,4.791666666666667,5.151464729906955,11,618.0,0.23112478162854877,11,618.0
290.0,55,23,20,138,193,0,312.0,5.672727272727273,5.725056956107981,20,637.0,0.3014240982074446,20,637.0
295.0,55,19,19,142,197,0,244.0,4.4363636363636365,4.67435056903677,19,623.0,0.24717313545960012,19,623.0
300.0,57,19,20,144,201,0,219.0,3.8421052631578947,3.8538770144739916,20,565.0,0.1535727643248676,20,565.0
305.0,61,17,30,148,209,0,255.0,4.180327868852459,2.755322913485685,30,637.0,0.11851567370578642,30,637.0
310.0,61,19,32,150,211,0,284.0,4.655737704918033,2.8923548112427224,32,672.0,0.09298723352639103,32,672.0
315.0,59,19,31,154,213,0,225.0,3.8135593220338984,3.047745902573504,31,711.0,0.09897712225320034,31,711.0
320.0,54,23,27,159,213,0,270.0,5.0,2.3546768964183196,27,842.0,0.08614829662427995,27,842.0
325.0,56,25,25,161,217,0,252.0,4.5,2.6926610083163047,25,878.0,0.14137179143643655,25,878.0
330.0,59,19,27,164,223,0,305.0,5.169491525423729,3.5978103104914045,27,867.0,0.1835672263465315,27,867.0
335.0,60,22,34,164,224,0,462.0,7.7,3.3718056385347164,34,953.0,0.06965744671524417,34,953.0
340.0,60,20,44,168,228,0,660.0,11.0,2.794582830729661,44,1151.0,0.03994019000033224,44,1151.0
345.0,54,24,48,174,228,0,893.0,16.537037037037038,1.5255328516525481,48,1384.0,0.03746219427050306,48,1384.0
350.0,52,24,48,178,230,0,1133.0,21.78846153846154,1.0576336973484903,48,1624.0,0.03771720640663338,48,1624.0
355.0,52,28,48,178,230,0,1373.0,26.403846153846153,1.0495046258898804,48,1864.0,0.03817630359185493,48,1864.0
360.0,50,28,42,180,230,0,1291.0,25.82,0.6762747591781084,42,1982.0,0.030077098161980412,42,1982.0
365.0,58,32,40,180,238,0,1396.0,24.06896551724138,3.037269352843211,40,2073.0,0.16766476306511718,40,2073.0
370.0,58,32,38,180,238,0,1283.0,22.120689655172413,2.8807878054452796,38,2146.0,0.13450900462517024,38,2146.0
375.0,56,36,36,184,240,0,1013.0,18.089285714285715,2.160265286373707,36,2008.0,0.07213376598390092,36,2008.0
380.0,56,36,31,184,240,0,734.0,13.107142857142858,2.682605189110326,31,2163.0,0.08111207146613422,31,2163.0
385.0,53,40,30,189,242,0,504.0,9.50943396226415,1.7916810604938547,30,2308.0,0.08225305844595543,30,2308.0
390.0,52,40,25,190,242,0,260.0,5.0,1.7345128639855905,25,2340.0,0.08618132919199213,25,2340.0
395.0,53,41,26,192,245,0,335.0,6.320754716981132,1.7697879145469515,26,2365.0,0.07605219202495281,26,2365.0
400.0,59,41,31,192,251,0,372.0,6.305084745762712,2.990563379802291,31,2314.0,0.12481898931103444,31,2314.0
405.0,58,44,31,194,252,0,363.0,6.258620689655173,3.756056558059819,31,2108.0,0.137567117835572,31,2108.0
410.0,56,44,23,198,254,0,180.0,3.2142857142857144,3.0752174645112587,23,2152.0,0.11353471987463894,23,2152.0
415.0,51,48,22,203,254,0,159.0,3.1176470588235294,3.411258024777643,22,2140.0,0.14597332900170532,22,2140.0
420.0,51,47,22,204,255,0,137.0,2.6862745098039214,2.8501596574396935,22,2160.0,0.08009306114633244,22,2160.0
425.0,52,48,27,208,260,0,240.0,4.615384615384615,2.9731250866864625,27,2208.0,0.09099907185255299,27,2208.0
430.0,50,47,36,211,261,0,396.0,7.92,2.132989327091438,36,2346.0,0.031684314848912244,36,2346.0
435.0,54,51,36,215,269,0,439.0,8.12962962962963,3.0197167152751807,36,2318.0,0.16030719501704474,36,2318.0
440.0,52,51,27,217,269,0,377.0,7.25,4.1769018576122,27,2062.0,0.2045505324448219,27,2062.0
445.0,53,55,24,218,271,0,345.0,6.509433962264151,4.200797635225419,24,2094.0,0.14321470672322856,24,2094.0
450.0,48,55,22,223,271,0,299.0,6.229166666666667,2.9944897920011804,22,2207.0,0.11541613531236147,22,2207.0
455.0,46,58,19,226,272,0,156.0,3.391304347826087,2.0960595527343755,19,2225.0,0.07689790607866134,19,2225.0
460.0,48,55,22,229,277,0,207.0,4.3125,3.0092551666959104,22,2201.0,0.11515788285277945,22,2201.0
465.0,49,58,24,229,278,0,216.0,4.408163265306122,2.896748677420781,24,2070.0,0.06275711586135814,24,2070.0
470.0,52,56,24,234,286,0,194.0,3.730769230769231,3.828341907965551,24,1744.0,0.17493509890592224,24,1744.0
475.0,50,60,21,236,286,0,146.0,2.92,3.984269445944993,21,1813.0,0.19796696301453723,21,1813.0
480.0,45,60,19,241,286,0,160.0,3.5555555555555554,2.2581606253847992,19,1911.0,0.11490721528897459,19,1911.0
485.0,46,64,20,242,288,0,169.0,3.6739130434782608,2.16203739032731,20,1779.0,0.10112351713151818,20,1779.0
490.0,48,60,17,244,292,0,205.0,4.270833333333333,2.7410367787348164,17,1439.0,0.09984562227928559,17,1439.0
495.0,51,63,21,244,295,0,274.0,5.372549019607843,3.2173032053777253,21,1426.0,0.1150158847302238,21,1426.0
500.0,48,62,23,248,296,0,366.0,7.625,2.060937858446476,23,1535.0,0.0951880593524466,23,1535.0
505.0,51,64,24,251,302,0,278.0,5.450980392156863,2.6883898007199862,24,1556.0,0.18940580414097463,24,1556.0
510.0,57,62,25,251,308,0,298.0,5.228070175438597,3.925383667210018,25,1527.0,0.22259082886740444,25,1527.0
515.0,58,61,27,251,309,0,323.0,5.568965517241379,3.3158577667834943,27,1378.0,0.1399090848892982,27,1378.0
520.0,58,63,33,255,313,0,319.0,5.5,3.1249566930278094,33,1011.0,0.08673862972721154,33,1011.0
525.0,55,63,27,258,313,0,350.0,6.363636363636363,3.1455485823586993,27,1041.0,0.09163049797042018,27,1041.0
530.0,53,67,25,262,315,0,392.0,7.39622641509434,2.688730599599758,25,1171.0,0.11045917513122296,25,1171.0
535.0,49,67,24,266,315,0,255.0,5.204081632653061,2.3427027782441283,24,1197.0,0.1266380528455689,24,1197.0
540.0,51,67,28,268,319,0,346.0,6.784313725490196,2.2923017389283076,28,1175.0,0.05194823600526454,28,1175.0
545.0,59,65,30,268,327,0,403.0,6.830508474576271,3.5534214015403642,30,1154.0,0.1323718993866944,30,1154.0
550.0,56,67,29,273,329,0,412.0,7.357142857142857,3.0906805173814638,29,1091.0,0.11783209351787936,29,1091.0
555.0,55,67,22,276,331,0,219.0,3.981818181818182,2.65101306711813,22,1098.0,0.10848841772759649,22,1098.0
560.0,52,71,14,279,331,0,73.0,1.4038461538461537,3.4570766783969824,14,1011.0,0.13994856880772855,14,1011.0
565.0,52,71,16,281,333,0,88.0,1.6923076923076923,3.5629023111383713,16,1034.0,0.1364003697121926,16,1034.0
570.0,52,71,29,285,337,0,209.0,4.019230769230769,2.4960700239742035,29,1141.0,0.0694642267724266,29,1141.0
575.0,51,70,37,287,338,0,373.0,7.313725490196078,1.427482505280988,37,1305.0,0.008503237073267434,37,1305.0
580.0,55,73,45,292,347,0,581.0,10.563636363636364,1.8480182439890476,45,1515.0,0.13191807053169596,45,1515.0
585.0,55,73,47,292,347,0,814.0,14.8,1.699314357471411,47,1748.0,0.12226614714492841,47,1748.0
590.0,57,77,50,292,349,0,1057.0,18.54385964912281,1.3623552810478847,50,1991.0,0.037308931853516386,50,1991.0
595.0,57,77,51,292,349,0,1312.0,23.017543859649123,1.2958494295861096,51,2246.0,0.03125871235114334,51,2246.0
600.0,54,81,47,295,349,0,1362.0,25.22222222222222,0.6495032463464345,47,2368.0,0.014082774959937212,47,2368.0
605.0,57,83,39,296,353,0,1417.0,24.859649122807017,2.6903205083817614,39,2400.0,0.12206094789365178,39,2400.0
610.0,57,87,42,296,353,0,1620.0,28.42105263157895,2.4420122629552012,42,2570.0,0.08416021375155573,42,2570.0
615.0,59,87,47,300,359,0,1842.0,31.220338983050848,2.2943092079684564,47,2792.0,0.09898332756614871,47,2792.0
620.0,56,91,48,303,359,0,2082.0,37.17857142857143,1.789403410856854,48,3032.0,0.0998516458524569,48,3032.0
625.0,57,91,50,304,361,0,2325.0,40.78947368421053,1.6506668639022557,50,3275.0,0.05397642986480128,50,3275.0
630.0,56,95,50,305,361,0,2575.0,45.982142857142854,1.4469383228031127,50,3525.0,0.03375560061958642,50,3525.0
635.0,54,95,52,307,361,0,2827.0,52.351851851851855,0.44557274335528635,52,3777.0,0.00012108466605753186,52,3777.0
640.0,54,99,52,309,363,0,3087.0,57.166666666666664,0.44760836461927334,52,4037.0,0.03549212747717236,52,4037.0
645.0,54,99,52,309,363,0,3347.0,61.98148148148148,0.18995463803748228,52,4297.0,0.015174757371608819,52,4297.0
650.0,62,103,54,309,371,0,3613.0,58.274193548387096,1.4688979016314887,54,4563.0,0.11557625194247,54,4563.0
655.0,62,103,54,309,371,0,3883.0,62.62903225806452,1.4773960311008019,54,4833.0,0.11638637494192804,54,4833.0
660.0,62,107,56,309,371,0,4156.0,67.03225806451613,1.0004208343804832,56,5106.0,0.07833915358655992,56,5106.0
665.0,64,107,58,309,373,0,4441.0,69.390625,1.1444980107298974,58,5391.0,0.030474559715162462,58,5391.0
670.0,64,111,59,309,373,0,4732.0,73.9375,0.7560142825794565,59,5682.0,0.0004502025358942192,59,5682.0
675.0,63,111,54,312,375,0,4640.0,73.65079365079364,0.8996633418568802,54,5787.0,0.041420014507040435,54,5787.0
680.0,62,115,44,313,375,0,4420.0,71.29032258064517,1.7866307945866824,44,5715.0,0.05132048378519664,44,5715.0
685.0,66,117,37,313,379,0,3813.0,57.77272727272727,3.044787745159558,37,5474.0,0.1245366669696379,37,5474.0
690.0,64,115,33,317,381,0,2742.0,42.84375,3.1698925096784256,33,5130.0,0.13821594807162071,33,5130.0
695.0,61,119,28,320,381,0,1863.0,30.540983606557376,2.7646346977486322,28,5154.0,0.13137753045731385,28,5154.0
700.0,60,119,20,323,383,0,823.0,13.716666666666667,3.3404729752772884,20,5048.0,0.14277855514624951,20,5048.0
705.0,58,123,18,325,383,0,375.0,6.4655172413793105,3.0855846876224193,18,4715.0,0.1180920500691578,18,4715.0
710.0,60,120,19,328,388,0,414.0,6.9,3.4125640940484145,19,4142.0,0.11744368312300561,19,4142.0
715.0,56,123,17,333,389,0,441.0,7.875,3.426874796870057,17,4009.0,0.12442093668266228,17,4009.0
720.0,53,121,17,338,391,0,491.0,9.264150943396226,3.198977623842359,17,4011.0,0.10982143995806411,17,4011.0
725.0,59,125,21,340,399,0,540.0,9.152542372881356,4.014633560208572,21,3785.0,0.22359891921139433,21,3785.0
730.0,58,122,19,344,402,0,586.0,10.10344827586207,4.183924849482692,19,3246.0,0.2108322310327235,19,3246.0
735.0,60,124,20,346,406,0,602.0,10.033333333333333,3.0483329530039223,20,3139.0,0.10385953494968685,20,3139.0
740.0,57,122,24,351,408,0,688.0,12.070175438596491,3.180686790510642,24,3200.0,0.12191039346674712,24,3200.0
745.0,57,126,25,353,410,0,612.0,10.736842105263158,2.9195810404835836,25,3233.0,0.10831232272858272,25,3233.0
750.0,55,124,30,357,412,0,727.0,13.218181818181819,2.9092965866818865,30,3262.0,0.10044098091330345,30,3262.0
755.0,56,125,36,359,415,0,892.0,15.928571428571429,2.2338220866909295,36,3407.0,0.03979111653725409,36,3407.0
760.0,59,123,38,364,423,0,952.0,16.135593220338983,2.1512458385004107,38,3246.0,0.11075194935609291,38,3246.0
765.0,56,127,35,367,423,0,961.0,17.160714285714285,3.162505551559956,35,2756.0,0.1595137452563543,35,2756.0
770.0,57,127,23,368,425,0,837.0,14.68421052631579,3.5733120539397625,23,2516.0,0.16277531474197612,23,2516.0
775.0,54,131,21,371,425,0,779.0,14.425925925925926,3.710886012950815,21,2560.0,0.14393017128497768,21,2560.0
780.0,50,131,17,375,425,0,100.0,2.0,3.200452152964843,17,2261.0,0.1194741768054209,17,2261.0
785.0,54,131,26,377,431,0,215.0,3.9814814814814814,3.4575823999536133,26,2056.0,0.10706582210671496,26,2056.0
790.0,52,129,29,381,433,0,293.0,5.634615384615385,2.529604949061962,29,2164.0,0.057737195591861815,29,2164.0
795.0,57,131,40,386,443,0,468.0,8.210526315789474,3.0237343999484656,40,2309.0,0.14178837751112022,40,2309.0
800.0,55,131,37,388,443,0,501.0,9.10909090909091,3.08261381030154,37,2127.0,0.1607395241056708,37,2127.0
805.0,53,135,28,392,445,0,421.0,7.943396226415095,2.8470199740587407,28,1579.0,0.13302484684304233,28,1579.0
810.0,53,135,25,392,445,0,272.0,5.132075471698113,3.0756959252612974,25,1665.0,0.11299968282478974,25,1665.0
815.0,49,139,20,396,445,0,205.0,4.183673469387755,3.0889496772616423,20,1712.0,0.10846411844906029,20,1712.0
820.0,49,139,20,398,447,0,139.0,2.836734693877551,3.1622735121362897,20,1784.0,0.11690455985190065,20,1784.0
