step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,12.64117497989357,0,0.0,0.913024677036855,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.465568427249906,0,0.0,0.8944213411249939,0,0.0
15.0,18,0,2,0,18,0,2.0,0.1111111111111111,8.202588199064584,2,2.0,0.510587207981177,2,2.0
20.0,17,0,6,1,18,0,28.0,1.6470588235294117,8.300286503587115,6,28.0,0.43924029378343676,6,28.0
25.0,21,0,4,3,24,0,41.0,1.9523809523809523,7.863329740623491,4,41.0,0.463208164916139,4,41.0
30.0,18,0,6,6,24,0,70.0,3.888888888888889,9.075998852145139,6,70.0,0.4832598124973111,6,70.0
35.0,22,0,5,6,28,0,61.0,2.772727272727273,6.588432565224681,5,61.0,0.27570005645349294,5,61.0
40.0,23,0,9,11,34,0,102.0,4.434782608695652,7.520128314154192,9,102.0,0.48195198533103034,9,102.0
45.0,25,0,4,13,38,0,30.0,1.2,6.842279468406686,4,82.0,0.47046874285051343,4,82.0
50.0,25,0,7,15,40,0,61.0,2.44,6.8623581941304055,7,61.0,0.372132676200208,7,61.0
55.0,29,0,13,15,44,0,114.0,3.9310344827586206,5.873813808811577,13,114.0,0.2583609202202925,13,114.0
60.0,26,0,9,18,44,0,72.0,2.769230769230769,4.926677862074537,9,133.0,0.2406115199015927,9,133.0
65.0,27,0,6,23,50,0,62.0,2.2962962962962963,6.901965504396207,6,105.0,0.3819139910676932,6,105.0
70.0,27,0,6,23,50,0,92.0,3.4074074074074074,8.808663128492666,6,93.0,0.4131788297754763,6,93.0
75.0,36,0,6,26,62,0,37.0,1.0277777777777777,8.482853591763686,6,79.0,0.5058564069637612,6,79.0
80.0,29,0,10,33,62,0,78.0,2.689655172413793,8.039217447267127,10,79.0,0.47838142483461393,10,79.0
85.0,33,0,6,35,68,0,80.0,2.4242424242424243,5.009773271028049,6,104.0,0.2829782990389473,6,104.0
90.0,29,0,12,39,68,0,121.0,4.172413793103448,5.530115275484996,12,129.0,0.3069017481121037,12,129.0
95.0,33,0,10,39,72,0,152.0,4.606060606060606,4.9923672457426065,10,170.0,0.22390492428509565,10,170.0
100.0,31,0,18,43,74,0,223.0,7.193548387096774,4.970684400729511,18,231.0,0.22531368507451158,18,231.0
105.0,33,0,14,45,78,0,262.0,7.9393939393939394,4.337769087302756,14,292.0,0.20569972559211605,14,292.0
110.0,35,0,11,49,84,0,296.0,8.457142857142857,6.214030472932305,11,319.0,0.36631064239349265,11,319.0
115.0,36,2,6,50,86,0,104.0,2.888888888888889,6.7675844473438636,6,253.0,0.38189770783849014,6,253.0
120.0,34,0,8,54,88,0,87.0,2.5588235294117645,7.123844396384187,8,147.0,0.39901957374728964,8,147.0
125.0,35,2,8,57,92,0,97.0,2.7714285714285714,5.085373966069362,8,156.0,0.21218139445238748,8,156.0
130.0,33,0,11,61,94,0,135.0,4.090909090909091,6.18117160598705,11,184.0,0.2983377867326352,11,184.0
135.0,34,2,11,64,98,0,161.0,4.735294117647059,5.836240139797411,11,219.0,0.2750303228768673,11,219.0
140.0,32,0,17,68,100,0,236.0,7.375,4.922317789759529,17,281.0,0.21217049131403826,17,281.0
145.0,35,2,15,71,106,0,273.0,7.8,4.5301283745773375,15,339.0,0.2473941695123567,15,339.0
150.0,37,0,11,75,112,0,306.0,8.27027027027027,6.872404355198908,11,368.0,0.4295530864657861,11,368.0
155.0,37,0,8,75,112,0,189.0,5.108108108108108,5.056187174578412,8,335.0,0.2547796848969802,8,335.0
160.0,39,0,14,79,118,0,192.0,4.923076923076923,5.095723485347656,14,271.0,0.24440165395258331,14,271.0
165.0,37,0,20,81,118,0,287.0,7.756756756756757,4.394894019256284,20,317.0,0.10994778794887526,20,317.0
170.0,40,0,18,84,124,0,308.0,7.7,4.539540348199191,18,377.0,0.2054513383314589,18,377.0
175.0,35,0,10,89,124,0,282.0,8.057142857142857,4.938989302957157,10,380.0,0.17752903458403424,10,380.0
180.0,35,0,10,93,128,0,110.0,3.142857142857143,4.927373812883273,10,249.0,0.2404886036582154,10,249.0
185.0,37,0,17,97,134,0,179.0,4.837837837837838,4.362898662874605,17,277.0,0.20618852659829173,17,277.0
190.0,40,0,17,98,138,0,217.0,5.425,4.520275586709166,17,323.0,0.2320036178356358,17,323.0
195.0,38,0,15,102,140,0,238.0,6.2631578947368425,3.6429965884269784,15,325.0,0.14480064896149467,15,325.0
200.0,42,0,11,102,144,0,135.0,3.2142857142857144,4.897697777174935,11,319.0,0.23353912804031984,11,319.0
205.0,39,0,16,107,146,0,189.0,4.846153846153846,4.050717180828651,16,292.0,0.14182144991453546,16,292.0
210.0,41,0,20,109,150,0,237.0,5.780487804878049,4.465896506366093,20,347.0,0.18416312928901946,20,347.0
215.0,37,0,15,113,150,0,251.0,6.783783783783784,3.790718403788664,15,341.0,0.07858642924909523,15,341.0
220.0,46,0,6,116,162,0,58.0,1.2608695652173914,6.696817040718692,6,294.0,0.39037036752819143,6,294.0
225.0,42,0,7,120,162,0,43.0,1.0238095238095237,6.383138687674267,7,195.0,0.3411522606208997,7,195.0
230.0,45,0,13,123,168,0,98.0,2.1777777777777776,5.33607287602806,13,206.0,0.17845798598962814,13,206.0
235.0,41,0,20,127,168,0,122.0,2.975609756097561,3.8611160309346855,20,255.0,0.09443138970684765,20,255.0
240.0,40,0,15,132,172,0,126.0,3.15,4.9642511646450505,15,262.0,0.19733767820384748,15,262.0
245.0,39,0,11,135,174,0,130.0,3.3333333333333335,6.227687382210626,11,233.0,0.20513416505823615,11,233.0
250.0,39,0,9,139,178,0,173.0,4.435897435897436,8.187443780952734,9,231.0,0.3704225268633821,9,231.0
255.0,39,0,11,145,184,0,221.0,5.666666666666667,8.905351981459175,11,243.0,0.468180721403017,11,243.0
260.0,37,0,8,151,188,0,107.0,2.891891891891892,7.412028855790898,8,200.0,0.41681814908322384,8,200.0
265.0,34,0,14,156,190,0,162.0,4.764705882352941,6.245376039989491,14,172.0,0.2554502094866496,14,172.0
270.0,36,0,13,158,194,0,193.0,5.361111111111111,5.870433112941807,13,222.0,0.2447562717947063,13,222.0
275.0,30,0,9,164,194,0,222.0,7.4,6.528098775257972,9,238.0,0.317236247503934,9,238.0
280.0,33,0,11,167,200,0,273.0,8.272727272727273,8.197355780080667,11,274.0,0.39264278987177564,11,274.0
285.0,28,0,11,172,200,0,328.0,11.714285714285714,7.6361350981354,11,328.0,0.2920810131585085,11,328.0
290.0,33,2,7,177,210,0,169.0,5.121212121212121,7.747641507192441,7,287.0,0.4630932863419903,7,287.0
295.0,30,0,6,182,212,0,162.0,5.4,8.545620965042612,6,195.0,0.550347158584413,6,195.0
300.0,31,2,8,183,214,0,198.0,6.387096774193548,7.627120042865327,8,198.0,0.3744781330550095,8,198.0
305.0,31,0,9,187,218,0,201.0,6.483870967741935,5.896753859459447,9,224.0,0.276583697545439,9,224.0
310.0,29,2,9,191,220,0,242.0,8.344827586206897,7.588211672061974,9,246.0,0.3993657472841111,9,246.0
315.0,29,0,7,195,224,0,203.0,7.0,7.107214724946505,7,232.0,0.3507547357320987,7,232.0
320.0,26,2,11,200,226,0,255.0,9.807692307692308,6.489308979922,11,256.0,0.33347633218498746,11,256.0
325.0,30,2,9,202,232,0,268.0,8.933333333333334,6.1751255244187355,9,292.0,0.36365864067662396,9,292.0
330.0,28,0,8,206,234,0,300.0,10.714285714285714,7.438063415924151,8,304.0,0.44625138047020785,8,304.0
335.0,31,0,4,207,238,0,63.0,2.032258064516129,7.936353043424941,4,133.0,0.4756560769585085,4,133.0
340.0,29,0,13,211,240,0,111.0,3.8275862068965516,5.431266643641332,13,115.0,0.19803817151560307,13,115.0
345.0,29,0,12,215,244,0,80.0,2.7586206896551726,4.695048771731661,12,132.0,0.2261441616330682,12,132.0
350.0,27,0,13,219,246,0,145.0,5.37037037037037,5.24430588953003,13,149.0,0.22057928755736075,13,149.0
355.0,31,0,14,219,250,0,158.0,5.096774193548387,5.871692832012711,14,188.0,0.27636160316090586,14,188.0
360.0,27,0,14,223,250,0,228.0,8.444444444444445,3.959680137300449,14,232.0,0.08272521507595236,14,232.0
365.0,36,0,14,226,262,0,153.0,4.25,6.186108765502405,14,255.0,0.38575747056243265,14,255.0
370.0,33,0,5,229,262,0,45.0,1.3636363636363635,6.379133492594251,5,194.0,0.37914004233702464,5,194.0
375.0,38,0,6,230,268,0,56.0,1.4736842105263157,6.486366028600483,6,172.0,0.3075540963193721,6,172.0
380.0,33,0,16,235,268,0,118.0,3.5757575757575757,3.8443203801697874,16,234.0,0.16376293871223896,16,234.0
385.0,35,1,16,238,273,0,165.0,4.714285714285714,3.0187033500065725,16,269.0,0.16803235936039232,16,269.0
390.0,34,0,12,240,274,0,201.0,5.911764705882353,4.031551481288087,12,269.0,0.1813560977022906,12,269.0
395.0,38,0,9,240,278,0,177.0,4.657894736842105,6.159997848940482,9,254.0,0.29801523656687917,9,254.0
400.0,39,0,16,245,284,0,241.0,6.17948717948718,4.738039321102571,16,285.0,0.21963918528227136,16,285.0
405.0,40,0,15,248,288,0,282.0,7.05,4.561641309709491,15,338.0,0.25444121502853295,15,338.0
410.0,38,0,12,252,290,0,309.0,8.131578947368421,4.699564993273216,12,361.0,0.24327322764922557,12,361.0
415.0,42,0,9,252,294,0,85.0,2.0238095238095237,5.7086386523187524,9,280.0,0.268514080136248,9,280.0
420.0,37,0,10,257,294,0,47.0,1.2702702702702702,5.357596289909238,10,165.0,0.23512777054774212,10,165.0
425.0,40,0,11,260,300,0,65.0,1.625,5.131264329599264,11,147.0,0.21534245413850503,11,147.0
430.0,35,0,10,265,300,0,87.0,2.4857142857142858,4.786061701321694,10,162.0,0.16666135796456416,10,162.0
435.0,45,0,11,267,312,0,138.0,3.066666666666667,8.348886482086023,11,186.0,0.47468146862048705,11,186.0
440.0,39,0,7,273,312,0,87.0,2.230769230769231,7.451109352575955,7,180.0,0.4376654919862685,7,180.0
445.0,39,0,16,279,318,0,147.0,3.769230769230769,5.530129527150985,16,193.0,0.25259158506038487,16,193.0
450.0,38,0,18,280,318,0,198.0,5.2105263157894735,4.863524455090798,18,265.0,0.20684397040491057,18,265.0
455.0,37,0,13,285,322,0,239.0,6.45945945945946,4.824806529264995,13,303.0,0.2001227991231752,13,303.0
460.0,37,0,11,287,324,0,115.0,3.108108108108108,5.477331571378312,11,270.0,0.2711053599384276,11,270.0
465.0,36,0,11,292,328,0,88.0,2.4444444444444446,5.637747115255867,11,188.0,0.26962160077087866,11,188.0
470.0,40,0,13,294,334,0,106.0,2.65,5.295910557853952,13,211.0,0.2760028885258345,13,211.0
475.0,39,2,11,297,336,0,120.0,3.076923076923077,6.341179913915549,11,219.0,0.34017911489425956,11,219.0
480.0,37,0,6,301,338,0,109.0,2.945945945945946,6.680403231090592,6,196.0,0.36975363664965677,6,196.0
485.0,36,2,10,306,342,0,137.0,3.8055555555555554,5.463217419538189,10,183.0,0.22837478388584317,10,183.0
490.0,35,0,15,309,344,0,172.0,4.914285714285715,4.930596305506559,15,229.0,0.2260788695571806,15,229.0
495.0,35,2,10,313,348,0,201.0,5.742857142857143,5.227866234986027,10,247.0,0.22951733710388317,10,247.0
500.0,35,0,8,315,350,0,147.0,4.2,6.23776323491664,8,226.0,0.33051498021668296,8,226.0
505.0,35,2,14,321,356,0,204.0,5.828571428571428,5.038704385665933,14,244.0,0.25874050083767214,14,244.0
510.0,40,0,17,322,362,0,247.0,6.175,5.700310682979916,17,304.0,0.3420263721768362,17,304.0
515.0,36,0,8,326,362,0,252.0,7.0,5.484756340114902,8,305.0,0.2640432352114652,8,305.0
520.0,40,0,8,328,368,0,174.0,4.35,5.476417202929011,8,284.0,0.28831143125741415,8,284.0
525.0,37,0,15,331,368,0,217.0,5.864864864864865,4.986502743503385,15,259.0,0.17582713831558755,15,259.0
530.0,39,0,16,335,374,0,258.0,6.615384615384615,4.802641591304713,16,313.0,0.21463803230955056,16,313.0
535.0,36,0,12,338,374,0,290.0,8.055555555555555,5.18412038194543,12,337.0,0.18740282871741082,12,337.0
540.0,36,0,11,342,378,0,343.0,9.527777777777779,6.657230406153845,11,359.0,0.29243510510837745,11,359.0
545.0,39,0,10,345,384,0,357.0,9.153846153846153,6.318743205101267,10,386.0,0.34701415824915066,10,386.0
550.0,37,0,16,351,388,0,427.0,11.54054054054054,5.642909911073977,16,440.0,0.26940085665643954,16,440.0
555.0,36,0,16,354,390,0,466.0,12.944444444444445,4.252258273809166,16,503.0,0.16798315342772965,16,503.0
560.0,36,0,13,358,394,0,502.0,13.944444444444445,5.607794645093289,13,538.0,0.28083118690482406,13,538.0
565.0,36,0,8,360,396,0,366.0,10.166666666666666,5.59457862257964,8,500.0,0.2624427005813281,8,500.0
570.0,36,0,14,364,400,0,406.0,11.277777777777779,5.8408642458691284,14,452.0,0.2605507904069696,14,452.0
575.0,33,0,14,367,400,0,440.0,13.333333333333334,4.227400208263949,14,492.0,0.11472930218676701,14,492.0
580.0,40,0,10,372,412,0,463.0,11.575,6.821376934501956,10,506.0,0.4084693322000869,10,506.0
585.0,38,0,8,374,412,0,431.0,11.342105263157896,6.955328054105133,8,499.0,0.40360612882107144,8,499.0
590.0,40,0,15,378,418,0,487.0,12.175,4.938603724716012,15,524.0,0.21997780166812209,15,524.0
595.0,37,0,19,381,418,0,541.0,14.621621621621621,4.349640757550118,19,597.0,0.16807140932018017,19,597.0
600.0,37,0,13,385,422,0,571.0,15.432432432432432,5.319327295101454,13,618.0,0.22467806567623375,13,618.0
605.0,36,0,9,388,424,0,113.0,3.138888888888889,5.539589771927389,9,357.0,0.2532309560763187,9,357.0
610.0,37,0,14,391,428,0,172.0,4.648648648648648,5.078560498714536,14,214.0,0.19218368528010965,14,214.0
615.0,39,0,15,395,434,0,215.0,5.512820512820513,5.583387381975165,15,269.0,0.2928737254735654,15,269.0
