step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,16,0,0,0,16,0,0.0,0.0,11.610875261304567,0,0.0,0.8387329777023937,0,0.0
10.0,16,0,0,0,16,0,0.0,0.0,12.01099727735826,0,0.0,0.8680474306693997,0,0.0
15.0,22,0,6,0,22,0,11.0,0.5,7.275728538378875,6,11.0,0.3921221923416624,6,11.0
20.0,22,0,9,0,22,0,40.0,1.8181818181818181,6.917832199695481,9,40.0,0.35176602406886504,9,40.0
25.0,25,0,11,3,28,0,88.0,3.52,5.651587052390601,11,88.0,0.31290740534525696,11,88.0
30.0,23,0,10,5,28,0,129.0,5.608695652173913,5.02160332793096,10,140.0,0.29876670163055613,10,140.0
35.0,25,0,10,7,32,0,179.0,7.16,6.283608440381372,10,179.0,0.3189858672648528,10,179.0
40.0,31,0,14,7,38,0,239.0,7.709677419354839,7.216355209329704,14,239.0,0.3954126829898334,14,239.0
45.0,30,0,15,12,42,0,310.0,10.333333333333334,4.696773263023734,15,310.0,0.30664363379691323,15,310.0
50.0,30,0,17,14,44,0,365.0,12.166666666666666,3.12103171139792,17,380.0,0.21688982804880186,17,380.0
55.0,34,0,18,14,48,0,451.0,13.264705882352942,5.431559230885515,18,455.0,0.26607934422191487,18,455.0
60.0,34,0,15,14,48,0,282.0,8.294117647058824,4.679090103731744,15,453.0,0.15770904521913112,15,453.0
65.0,35,0,15,19,54,0,305.0,8.714285714285714,4.272334246652324,15,437.0,0.24712933902284265,15,437.0
70.0,33,0,14,21,54,0,349.0,10.575757575757576,3.4996807706230815,14,497.0,0.16005206081859105,14,497.0
75.0,45,0,18,21,66,0,422.0,9.377777777777778,6.639925772258281,18,564.0,0.35349530815952357,18,564.0
80.0,41,0,18,25,66,0,512.0,12.487804878048781,6.945820013806978,18,640.0,0.3588615203499674,18,640.0
85.0,43,0,16,29,72,0,522.0,12.13953488372093,5.056871629517714,16,618.0,0.2707627969942634,16,618.0
90.0,38,0,21,34,72,0,612.0,16.105263157894736,4.69705887282596,21,613.0,0.22088437522839677,21,613.0
95.0,41,0,22,35,76,0,687.0,16.75609756097561,4.142942175901071,22,705.0,0.1810152387339543,22,705.0
100.0,39,0,22,39,78,0,797.0,20.435897435897434,5.027622933893596,22,798.0,0.20603533286713466,22,798.0
105.0,41,0,22,41,82,0,907.0,22.121951219512194,5.518368717872039,22,908.0,0.21987499479352116,22,908.0
110.0,43,0,24,45,88,0,1026.0,23.86046511627907,5.548605921348973,24,1027.0,0.25856787931046493,24,1027.0
115.0,39,2,22,51,90,0,1091.0,27.974358974358974,4.140449978955203,22,1092.0,0.23934194926708705,22,1092.0
120.0,38,0,27,54,92,0,1215.0,31.973684210526315,2.496049221109441,27,1216.0,0.14582149578916884,27,1216.0
125.0,42,2,27,54,96,0,1334.0,31.761904761904763,3.091795466112909,27,1343.0,0.18397785205915784,27,1343.0
130.0,42,0,30,56,98,0,1476.0,35.142857142857146,3.6181814437331186,30,1477.0,0.11151771290055654,30,1477.0
135.0,46,2,30,56,102,0,1626.0,35.34782608695652,4.419592852999836,30,1627.0,0.17825585269786434,30,1627.0
140.0,43,0,32,61,104,0,1779.0,41.372093023255815,2.046337948462589,32,1780.0,0.09031508334126613,32,1780.0
145.0,46,2,32,64,110,0,1936.0,42.08695652173913,2.715078145805566,32,1943.0,0.20664638961389403,32,1943.0
150.0,52,0,32,64,116,0,2096.0,40.30769230769231,4.279093572423945,32,2097.0,0.24198070025351334,32,2097.0
155.0,52,0,35,64,116,0,2261.0,43.48076923076923,3.585882220100495,35,2262.0,0.13145260342705728,35,2262.0
160.0,54,0,38,68,122,0,2445.0,45.27777777777778,2.8963277787416746,38,2446.0,0.11158527334008565,38,2446.0
165.0,50,0,43,72,122,0,2648.0,52.96,1.6428617060502058,43,2649.0,0.06574955208175544,43,2649.0
170.0,55,0,39,73,128,0,2457.0,44.67272727272727,2.3078590468695066,39,2701.0,0.12319525118669339,39,2701.0
175.0,53,0,35,75,128,0,2485.0,46.886792452830186,2.67091408783808,35,2546.0,0.07583807291370867,35,2546.0
180.0,57,0,42,75,132,0,2678.0,46.98245614035088,2.749723534809356,42,2739.0,0.07892788958047238,42,2739.0
185.0,59,0,46,79,138,0,2902.0,49.186440677966104,1.9685411646182298,46,2963.0,0.08667240206553914,46,2963.0
190.0,59,0,45,83,142,0,3004.0,50.91525423728814,1.7584125770349512,45,3147.0,0.11181312910728047,45,3147.0
195.0,61,0,40,83,144,0,3115.0,51.0655737704918,2.300357981832279,40,3251.0,0.07278284863360354,40,3251.0
200.0,64,0,42,84,148,0,3322.0,51.90625,3.9962522493041224,42,3402.0,0.14584542525319144,42,3402.0
205.0,62,0,42,88,150,0,3532.0,56.96774193548387,2.868513360550218,42,3603.0,0.08761422980895206,42,3603.0
210.0,60,0,49,94,154,0,3763.0,62.71666666666667,1.352900113650296,49,3834.0,0.06673372402892665,49,3834.0
215.0,58,0,48,96,154,0,3981.0,68.63793103448276,0.9355383100200866,48,4064.0,0.056936999845087426,48,4064.0
220.0,70,0,44,96,166,0,4188.0,59.82857142857143,3.3093260204826205,44,4265.0,0.1784802905052932,44,4265.0
225.0,70,0,46,96,166,0,4418.0,63.114285714285714,4.08253155822644,46,4479.0,0.16592058376001048,46,4479.0
230.0,69,2,46,101,170,0,3428.0,49.68115942028985,2.4953971225067892,46,4279.0,0.0823040543727505,46,4279.0
235.0,65,2,42,105,170,0,2035.0,31.307692307692307,2.9119072906142702,42,3707.0,0.11148377300846617,42,3707.0
240.0,66,2,31,108,174,0,1092.0,16.545454545454547,2.8556859310173266,31,3870.0,0.12277073756910588,31,3870.0
245.0,62,4,30,112,174,0,735.0,11.85483870967742,3.2274387975081633,30,3985.0,0.14553956865491635,30,3985.0
250.0,64,4,24,114,178,0,675.0,10.546875,3.2475469412256937,24,3732.0,0.1295651228532167,24,3732.0
255.0,66,2,29,120,186,0,748.0,11.333333333333334,3.605296866504729,29,2848.0,0.1701386421858778,29,2848.0
260.0,69,2,25,121,190,0,393.0,5.695652173913044,3.650573786556072,25,2786.0,0.18560339242184568,25,2786.0
265.0,68,2,21,124,192,0,214.0,3.1470588235294117,3.8143842656529388,21,2578.0,0.1658713890813801,21,2578.0
270.0,67,2,28,129,196,0,250.0,3.7313432835820897,3.4684189949012825,28,2556.0,0.1373255945779802,28,2556.0
275.0,63,0,42,135,198,0,430.0,6.825396825396825,1.7329788707124556,42,2738.0,0.07886216867594802,42,2738.0
280.0,68,0,46,136,204,0,554.0,8.147058823529411,1.500603147302519,46,2634.0,0.0763759467285005,46,2634.0
285.0,66,0,44,138,204,0,643.0,9.742424242424242,2.04666848059315,44,2274.0,0.0901972093262878,44,2274.0
290.0,76,2,36,138,214,0,532.0,7.0,3.5455313043123637,36,2148.0,0.17900936978655407,36,2148.0
295.0,75,0,28,141,216,0,330.0,4.4,3.962704511367056,28,2155.0,0.18971986394274803,28,2155.0
