step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,13.430327393742644,0,0.0,0.9279389535344018,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,12.894431476467439,0,0.0,0.8919494205913282,0,0.0
15.0,18,0,3,0,18,0,7.0,0.3888888888888889,8.24414340904584,3,7.0,0.45930118436738293,3,7.0
20.0,18,0,6,0,18,0,34.0,1.8888888888888888,8.962424972580463,6,34.0,0.47967115470789096,6,34.0
25.0,20,0,4,4,24,0,40.0,2.0,6.113092593104794,4,40.0,0.37334451956948306,4,40.0
30.0,18,0,10,6,24,0,85.0,4.722222222222222,5.275987101928494,10,85.0,0.30281455903802124,10,85.0
35.0,22,0,7,6,28,0,65.0,2.9545454545454546,5.380378976037009,7,96.0,0.31144830632678805,7,96.0
40.0,26,0,6,8,34,0,86.0,3.3076923076923075,7.647271706093533,6,90.0,0.45857167781884134,6,90.0
45.0,30,0,3,8,38,0,6.0,0.2,7.685440202487347,3,59.0,0.45773472224828415,3,59.0
50.0,28,0,7,12,40,0,35.0,1.25,7.926088596969373,7,39.0,0.4283788144925703,7,39.0
55.0,29,0,14,15,44,0,86.0,2.9655172413793105,5.6810046484182655,14,90.0,0.2519440228808768,14,90.0
60.0,26,0,15,18,44,0,159.0,6.115384615384615,4.3122711162782,15,163.0,0.1976706158682131,15,163.0
65.0,27,0,12,23,50,0,119.0,4.407407407407407,3.484719205493392,12,192.0,0.2371490404272744,12,192.0
70.0,27,0,6,23,50,0,89.0,3.2962962962962963,5.4558818546566785,6,163.0,0.28453665175903253,6,163.0
75.0,39,0,6,23,62,0,35.0,0.8974358974358975,6.90063151516159,6,147.0,0.416476668830701,6,147.0
80.0,35,0,12,27,62,0,85.0,2.4285714285714284,6.485798577859736,12,159.0,0.3827329885898102,12,159.0
85.0,39,0,17,29,68,0,161.0,4.128205128205129,4.417671573579853,17,235.0,0.21518271153608623,17,235.0
90.0,35,0,27,33,68,0,283.0,8.085714285714285,2.6664906371377084,27,357.0,0.1502821774228806,27,357.0
95.0,38,0,24,34,72,0,303.0,7.973684210526316,2.1096780264311716,24,419.0,0.11570859575122519,24,419.0
100.0,39,0,17,35,74,0,260.0,6.666666666666667,3.7159506616424367,17,417.0,0.16797261769735014,17,417.0
105.0,43,0,12,35,78,0,282.0,6.558139534883721,6.156717787013368,12,385.0,0.2788859217260431,12,385.0
110.0,44,0,10,40,84,0,129.0,2.9318181818181817,5.728220833563659,10,349.0,0.326994168705535,10,349.0
115.0,41,2,11,45,86,0,139.0,3.3902439024390243,6.206312804284512,11,278.0,0.35645853608517075,11,278.0
120.0,41,0,13,47,88,0,82.0,2.0,4.8570732927280185,13,249.0,0.2015341257240723,13,249.0
125.0,41,2,23,51,92,0,180.0,4.390243902439025,4.836326960637079,23,289.0,0.16973257395031122,23,289.0
130.0,39,0,19,55,94,0,187.0,4.794871794871795,4.500366975140425,19,336.0,0.16000454317453033,19,336.0
135.0,39,2,14,59,98,0,118.0,3.0256410256410255,5.431626244728777,14,299.0,0.22831236137857816,14,299.0
140.0,37,0,7,63,100,0,92.0,2.4864864864864864,6.4370866430930835,7,233.0,0.2542020780145527,7,233.0
145.0,39,2,11,67,106,0,121.0,3.1025641025641026,6.465990729788337,11,271.0,0.3569240052406604,11,271.0
150.0,40,0,17,72,112,0,192.0,4.8,5.008702122163821,17,342.0,0.32390415680850987,17,342.0
155.0,37,0,16,75,112,0,117.0,3.1621621621621623,2.592649554281537,16,360.0,0.18228005590705995,16,360.0
160.0,43,0,21,75,118,0,183.0,4.255813953488372,3.9417635458240783,21,351.0,0.18857225002501596,21,351.0
165.0,43,0,29,75,118,0,313.0,7.27906976744186,3.69548517679354,29,457.0,0.06102116169309879,29,457.0
170.0,45,0,29,79,124,0,436.0,9.688888888888888,2.9655690690030827,29,591.0,0.10552837556138446,29,591.0
175.0,39,0,32,85,124,0,590.0,15.128205128205128,1.807693714659477,32,734.0,0.05198324516645484,32,734.0
180.0,43,0,32,85,128,0,733.0,17.046511627906977,2.058744229341909,32,877.0,0.06115016228500246,32,877.0
185.0,45,0,35,89,134,0,901.0,20.022222222222222,2.726942568463384,35,1045.0,0.12847800224806644,35,1045.0
190.0,49,0,30,89,138,0,807.0,16.46938775510204,2.7574019094688347,30,1094.0,0.13383740951787768,30,1094.0
195.0,49,0,25,91,140,0,539.0,11.0,3.3430593565885487,25,1006.0,0.13772245005058878,25,1006.0
200.0,48,3,22,93,141,0,365.0,7.604166666666667,4.733263359765707,22,818.0,0.15665475185876523,22,818.0
205.0,46,3,14,97,143,0,235.0,5.108695652173913,6.543357331451096,14,698.0,0.28490869168856836,14,698.0
210.0,41,7,10,102,143,0,193.0,4.7073170731707314,7.769840388743341,10,567.0,0.3849338656064922,10,567.0
215.0,37,3,11,110,147,0,137.0,3.7027027027027026,5.937935107266945,11,478.0,0.3166413781094373,11,478.0
220.0,46,3,17,113,159,0,207.0,4.5,5.561246182382473,17,548.0,0.3399119324863584,17,548.0
225.0,46,0,20,116,162,0,200.0,4.3478260869565215,4.234754294933906,20,592.0,0.2687164161520143,20,592.0
230.0,50,0,29,118,168,0,325.0,6.5,3.4470839533611866,29,666.0,0.12843900383795293,29,666.0
235.0,50,0,36,118,168,0,493.0,9.86,2.424300582741463,36,834.0,0.04455401565635318,36,834.0
240.0,49,0,41,123,172,0,688.0,14.040816326530612,1.3316109016042852,41,1029.0,0.047127606970532664,41,1029.0
245.0,48,0,40,126,174,0,728.0,15.166666666666666,0.9745700381758456,40,1113.0,0.05911973650260811,40,1113.0
250.0,51,1,30,126,177,0,652.0,12.784313725490197,2.445145270068732,30,1064.0,0.082587666470124,30,1064.0
255.0,57,1,27,126,183,0,613.0,10.75438596491228,4.970563524768276,27,931.0,0.1944118753055797,27,931.0
260.0,54,4,17,130,184,0,540.0,10.0,6.050464263843143,17,874.0,0.2625224103024505,17,874.0
265.0,50,4,16,136,186,0,584.0,11.68,6.276810093943705,16,844.0,0.2885483474314451,16,844.0
