step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,16,0,0,0,16,0,0.0,0.0,11.609011412476749,0,0.0,0.8345170746584021,0,0.0
10.0,16,0,0,0,16,0,0.0,0.0,12.025558858626646,0,0.0,0.8669690926831753,0,0.0
15.0,22,0,2,0,22,0,5.0,0.22727272727272727,6.584150580488282,2,5.0,0.40405188661232505,2,5.0
20.0,22,0,12,0,22,0,47.0,2.1363636363636362,5.763486978129219,12,47.0,0.29696001841598096,12,47.0
25.0,25,0,14,3,28,0,110.0,4.4,3.898470945109633,14,110.0,0.2501904520410981,14,110.0
30.0,24,0,12,4,28,0,128.0,5.333333333333333,3.5905416578589,12,161.0,0.24596362560398763,12,161.0
35.0,28,0,10,4,32,0,169.0,6.035714285714286,5.830959171981829,10,178.0,0.3002041295523872,10,178.0
40.0,34,0,9,4,38,0,97.0,2.8529411764705883,6.461845820674234,9,183.0,0.3574659988673878,9,183.0
45.0,34,0,14,8,42,0,156.0,4.588235294117647,5.755412465244995,14,201.0,0.3450794780826548,14,201.0
50.0,33,0,13,11,44,0,86.0,2.606060606060606,4.097473653449713,13,200.0,0.20488073046150854,13,200.0
55.0,37,0,17,11,48,0,154.0,4.162162162162162,5.82432605420023,17,203.0,0.2444634717750036,17,203.0
60.0,33,0,19,15,48,0,249.0,7.545454545454546,4.927323386466768,19,294.0,0.141516419521831,19,294.0
65.0,35,0,23,19,54,0,353.0,10.085714285714285,4.290815004178389,23,398.0,0.1762077956683016,23,398.0
70.0,31,0,23,23,54,0,468.0,15.096774193548388,2.3406119638086738,23,513.0,0.10924508178962654,23,513.0
75.0,41,0,27,25,66,0,595.0,14.512195121951219,4.472792914628333,27,640.0,0.28497259669396946,27,640.0
80.0,41,0,21,25,66,0,487.0,11.878048780487806,4.035619400760446,21,680.0,0.2421980333445993,21,680.0
85.0,45,0,17,27,72,0,296.0,6.5777777777777775,4.487292310027079,17,618.0,0.2384671327754972,17,618.0
90.0,44,0,16,28,72,0,282.0,6.409090909090909,5.129450302671274,16,515.0,0.17359154651975636,16,515.0
95.0,44,0,14,32,76,0,344.0,7.818181818181818,7.246707646509737,14,475.0,0.3602721557635135,14,475.0
100.0,41,0,15,37,78,0,390.0,9.512195121951219,5.795880175008829,15,507.0,0.27123963846187515,15,507.0
105.0,40,0,20,42,82,0,479.0,11.975,3.9905915429741854,20,596.0,0.19270435082638132,20,596.0
110.0,43,0,21,45,88,0,550.0,12.790697674418604,3.753196431277969,21,660.0,0.22752641815052124,21,660.0
115.0,43,2,17,47,90,0,614.0,14.279069767441861,4.992328923253871,17,686.0,0.2629104090757093,17,686.0
120.0,45,0,19,47,92,0,695.0,15.444444444444445,3.676637944818898,19,771.0,0.13500211585113378,19,771.0
125.0,44,2,29,52,96,0,827.0,18.795454545454547,2.228036935952605,29,903.0,0.11930111217565234,29,903.0
130.0,44,0,35,54,98,0,991.0,22.522727272727273,1.1000343121867555,35,1067.0,0.08220103616258445,35,1067.0
135.0,48,2,35,54,102,0,969.0,20.1875,1.6621779808836472,35,1164.0,0.10360363768177673,35,1164.0
140.0,50,0,34,54,104,0,1095.0,21.9,2.9338644133558245,34,1213.0,0.1270443307683102,34,1213.0
145.0,56,2,34,54,110,0,711.0,12.696428571428571,3.3698429990941245,34,1142.0,0.14305928003330595,34,1142.0
150.0,60,0,29,56,116,0,511.0,8.516666666666667,4.9384180963647815,29,929.0,0.24725114549090166,29,929.0
155.0,55,0,29,61,116,0,462.0,8.4,2.7869951925002003,29,996.0,0.09286317587455517,29,996.0
160.0,57,0,29,65,122,0,314.0,5.508771929824562,3.1861673393276786,29,966.0,0.10728536868371313,29,966.0
165.0,55,0,29,67,122,0,287.0,5.218181818181818,4.263558003116844,29,961.0,0.1225207058963413,29,961.0
170.0,56,0,23,72,128,0,332.0,5.928571428571429,5.088469158149825,23,943.0,0.2037096567392771,23,943.0
175.0,51,0,19,77,128,0,279.0,5.470588235294118,4.972436371164842,19,944.0,0.24375333346557126,19,944.0
180.0,49,0,22,83,132,0,341.0,6.959183673469388,4.340990672793142,22,935.0,0.20884665990231585,22,935.0
185.0,53,0,24,85,138,0,287.0,5.415094339622642,4.121709890386382,24,838.0,0.1632850330353118,24,838.0
190.0,52,0,25,90,142,0,247.0,4.75,4.229178245469051,25,667.0,0.18176741661434012,25,667.0
195.0,51,0,31,93,144,0,387.0,7.588235294117647,4.370782766421597,31,598.0,0.11788035817183602,31,598.0
200.0,50,0,33,98,148,0,551.0,11.02,4.140701986046643,33,762.0,0.12408233521068372,33,762.0
205.0,47,0,35,103,150,0,632.0,13.446808510638299,2.5848633604383853,35,843.0,0.053181620230550765,35,843.0
210.0,46,0,37,108,154,0,817.0,17.76086956521739,1.776592428353466,37,1028.0,0.0759432291887303,37,1028.0
215.0,45,0,41,109,154,0,1012.0,22.488888888888887,0.6672714571880278,41,1223.0,0.006186649867005112,41,1223.0
220.0,54,1,43,111,165,0,1224.0,22.666666666666668,2.0901501773393436,43,1435.0,0.14092531630462896,43,1435.0
225.0,55,0,47,111,166,0,1452.0,26.4,1.8205799979005128,47,1663.0,0.12168793325915112,47,1663.0
230.0,57,4,46,111,168,0,1370.0,24.035087719298247,0.8782523876930209,46,1741.0,0.049268559893106696,46,1741.0
235.0,57,4,40,111,168,0,1138.0,19.964912280701753,2.3501569239784086,40,1603.0,0.07532155238702358,40,1603.0
240.0,57,8,27,111,168,0,551.0,9.666666666666666,3.0068068393348266,27,1590.0,0.09129953097621943,27,1590.0
245.0,54,8,18,116,170,0,243.0,4.5,3.9548999778484584,18,1518.0,0.17453816401584663,18,1518.0
250.0,51,12,20,119,170,0,200.0,3.9215686274509802,4.227198810361148,20,1491.0,0.12667796125704575,20,1491.0
255.0,57,8,23,123,180,0,217.0,3.807017543859649,3.7741991284718304,23,1553.0,0.1688522191833946,23,1553.0
260.0,55,10,32,127,182,0,361.0,6.5636363636363635,3.4293365737181167,32,1654.0,0.13835860899732408,32,1654.0
265.0,55,8,32,131,186,0,395.0,7.181818181818182,3.0139608305793053,32,1650.0,0.1123451963417073,32,1650.0
270.0,50,12,32,136,186,0,369.0,7.38,3.0435475160519694,32,1435.0,0.10336663174605779,32,1435.0
275.0,50,12,22,136,186,0,329.0,6.58,3.2385918723135103,22,1484.0,0.08988060321874977,22,1484.0
280.0,47,16,20,141,188,0,308.0,6.553191489361702,2.8773350861483675,20,1584.0,0.12656473982934435,20,1584.0
285.0,44,16,21,144,188,0,334.0,7.590909090909091,2.260563424832004,21,1685.0,0.11704323063907127,21,1685.0
290.0,53,16,29,147,200,0,463.0,8.735849056603774,2.5374948117216047,29,1814.0,0.1833649475404032,29,1814.0
295.0,55,14,34,147,202,0,498.0,9.054545454545455,2.15145518801743,34,1849.0,0.14844518037410587,34,1849.0
300.0,57,16,43,147,204,0,693.0,12.157894736842104,1.4944853286104587,43,2044.0,0.060639917947649113,43,2044.0
305.0,61,18,48,147,208,0,686.0,11.245901639344263,1.9027051708851463,48,2183.0,0.0795622852424994,48,2183.0
