step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,12,0,0,0,12,0,0.0,0.0,13.02121624814344,0,0.0,0.9453565536650559,0,0.0
10.0,12,0,0,0,12,0,0.0,0.0,11.53826282807342,0,0.0,0.8438184962473626,0,0.0
15.0,18,0,6,0,18,0,8.0,0.4444444444444444,7.2885789883785845,6,8.0,0.392824236901852,6,8.0
20.0,18,0,8,0,18,0,47.0,2.611111111111111,7.129793364688753,8,47.0,0.3714167102626121,8,47.0
25.0,22,0,6,2,24,0,63.0,2.8636363636363638,6.048189026838984,6,63.0,0.3889566451923484,6,63.0
30.0,20,0,10,4,24,0,108.0,5.4,6.21267133556508,10,108.0,0.32667854194638196,10,108.0
35.0,24,0,6,4,28,0,123.0,5.125,6.105094300663564,6,135.0,0.33331030520908084,6,135.0
40.0,26,0,8,8,34,0,158.0,6.076923076923077,8.068691486078997,8,158.0,0.5132548137913625,8,158.0
45.0,30,0,8,8,38,0,198.0,6.6,9.717525960950468,8,198.0,0.506959894731611,8,198.0
50.0,27,0,6,13,40,0,100.0,3.7037037037037037,7.399505199540092,6,165.0,0.3707340318215101,6,165.0
55.0,26,0,7,18,44,0,131.0,5.038461538461538,7.0946390706477676,7,131.0,0.32197462043911357,7,131.0
60.0,24,0,6,20,44,0,160.0,6.666666666666667,7.261115982257265,6,163.0,0.3283989177273508,6,163.0
65.0,25,0,8,25,50,0,198.0,7.92,8.574759024675307,8,198.0,0.4615343272464547,8,198.0
70.0,22,0,8,28,50,0,238.0,10.818181818181818,8.184647426524108,8,238.0,0.35912955865689267,8,238.0
75.0,30,0,10,32,62,0,283.0,9.433333333333334,8.6137019121038,10,283.0,0.537024388368098,10,283.0
80.0,26,0,4,36,62,0,147.0,5.653846153846154,9.274535565175963,4,242.0,0.6174473626786523,4,242.0
85.0,31,0,2,37,68,0,142.0,4.580645161290323,8.397087606453761,2,142.0,0.47697940701144964,2,142.0
90.0,28,0,8,40,68,0,174.0,6.214285714285714,6.995526073645065,8,174.0,0.34783817038333664,8,174.0
95.0,28,0,10,44,72,0,222.0,7.928571428571429,7.914933721944848,10,222.0,0.37550479479681237,10,222.0
100.0,26,0,8,48,74,0,222.0,8.538461538461538,7.992154890233677,8,243.0,0.3893313771987526,8,243.0
105.0,25,0,8,53,78,0,262.0,10.48,7.985909792570286,8,262.0,0.4268522771950457,8,262.0
110.0,27,0,8,57,84,0,250.0,9.25925925925926,6.448641397418556,8,270.0,0.41641532991314667,8,270.0
115.0,26,2,8,60,86,0,290.0,11.153846153846153,7.31916959983547,8,290.0,0.4495367696595503,8,290.0
120.0,28,0,12,60,88,0,342.0,12.214285714285714,6.811248896279424,12,342.0,0.36167474267030036,12,342.0
125.0,29,2,16,63,92,0,412.0,14.206896551724139,4.200363692867419,16,412.0,0.1898730452147622,16,412.0
130.0,28,0,20,66,94,0,506.0,18.071428571428573,3.4551423181644503,20,506.0,0.20484772214668925,20,506.0
135.0,30,2,14,68,98,0,458.0,15.266666666666667,3.042185923715127,14,543.0,0.18134107711496708,14,543.0
140.0,32,0,9,68,100,0,435.0,13.59375,5.7081823815796255,9,519.0,0.29199338274812,9,519.0
145.0,37,2,9,69,106,0,480.0,12.972972972972974,7.863905471456049,9,490.0,0.40427630170023376,9,490.0
150.0,39,0,8,73,112,0,422.0,10.820512820512821,7.870022227217928,8,482.0,0.46736451065816237,8,482.0
155.0,33,0,14,79,112,0,481.0,14.575757575757576,5.667294640715396,14,491.0,0.27751459494340935,14,491.0
160.0,37,0,17,81,118,0,524.0,14.162162162162161,4.844826236412876,17,555.0,0.2209894285787342,17,555.0
165.0,33,0,13,85,118,0,573.0,17.363636363636363,5.013429241633714,13,590.0,0.1795159703493744,13,590.0
170.0,37,0,15,87,124,0,642.0,17.35135135135135,7.340019128050848,15,642.0,0.32260233980008246,15,642.0
175.0,32,0,15,92,124,0,717.0,22.40625,6.967510142082192,15,717.0,0.21814720307039806,15,717.0
180.0,32,0,12,96,128,0,627.0,19.59375,5.560837987979793,12,715.0,0.19315825036228426,12,715.0
185.0,33,0,11,101,134,0,667.0,20.21212121212121,7.459360655499838,11,683.0,0.40971389596809654,11,683.0
190.0,34,0,12,104,138,0,699.0,20.558823529411764,5.899123204662001,12,724.0,0.3126134574258372,12,724.0
195.0,33,0,15,107,140,0,762.0,23.09090909090909,5.324831356686687,15,779.0,0.21195494154395222,15,779.0
200.0,34,0,17,110,144,0,846.0,24.88235294117647,6.883102564874494,17,862.0,0.2429194196931435,17,862.0
205.0,32,0,18,114,146,0,932.0,29.125,5.861973925190426,18,948.0,0.24725624521257258,18,948.0
210.0,30,0,13,120,150,0,920.0,30.666666666666668,4.323492700228433,13,975.0,0.2505846907888549,13,975.0
215.0,29,0,15,121,150,0,987.0,34.03448275862069,5.3538538479354765,15,993.0,0.23453968637708592,15,993.0
220.0,40,0,16,122,162,0,1042.0,26.05,6.267693684086687,16,1056.0,0.36399034496216703,16,1056.0
225.0,37,0,15,125,162,0,1116.0,30.16216216216216,6.87436094960126,15,1123.0,0.36611282023993125,15,1123.0
230.0,40,0,17,128,168,0,921.0,23.025,4.846139598840433,17,1066.0,0.21992000739348086,17,1066.0
235.0,35,0,17,133,168,0,992.0,28.34285714285714,5.418309702309451,17,1007.0,0.25696378597709885,17,1007.0
240.0,38,0,17,134,172,0,1052.0,27.68421052631579,4.190185129330828,17,1082.0,0.14262008126217315,17,1082.0
245.0,35,0,19,139,174,0,1145.0,32.714285714285715,5.067634344480748,19,1160.0,0.23461850412820723,19,1160.0
250.0,38,0,15,140,178,0,1094.0,28.789473684210527,4.857460242631882,15,1180.0,0.20296094105751164,15,1180.0
255.0,40,0,18,144,184,0,1166.0,29.15,6.160712238741531,18,1174.0,0.3252106181306326,18,1174.0
260.0,41,0,19,147,188,0,1259.0,30.70731707317073,5.822549117492479,19,1267.0,0.3096344352276104,19,1267.0
265.0,40,0,17,150,190,0,1279.0,31.975,4.79005185051305,17,1334.0,0.24577408827140024,17,1334.0
270.0,38,0,18,156,194,0,1339.0,35.23684210526316,4.905594430053342,18,1367.0,0.25094143704014993,18,1367.0
275.0,38,0,18,156,194,0,1429.0,37.60526315789474,6.418535660734486,18,1437.0,0.23263797057213742,18,1437.0
280.0,38,0,20,162,200,0,1524.0,40.10526315789474,5.93025863709354,20,1532.0,0.2800269054764378,20,1532.0
285.0,35,0,14,165,200,0,1397.0,39.91428571428571,5.1675188341844684,14,1524.0,0.22947869637782534,14,1524.0
